Latitude,Longitude,Title,Description,Intensity
-29.58,28.24,Lesotho: Severe Local Storm - Dec 2023,"<p>From the 22nd - 28th December 2023, most parts of the country received heavy rainfall coupled with strong winds which caused severe damages affecting 190 households (968pp). The impacts of the shocks (heavy rains and storms) were mostly felt by communities mostly in Maseru and Quthing district and lower impact was reported Berea, Mokhotlong, Thaba Tseka. The storm severely damaged businesses and transport networks which hindered full access to essential services such as markets, health services and churches and the situation is expected to worsen in the coming months (January to March) as more rains have been projected by the Lesotho Meteorological Services. The affected families are displaced as their houses were blown away by storms and food stock are also destroyed by rains, as well as some small businesses in the districts. The families opted to seek for shelter with their neighbors and relatives as a temporary solution. (<a href=""https://reliefweb.int/node/4031524"">IFRC, 21 Jan 2024</a>)</p>
",low
-0.31,15.99,Congo: Floods - Dec 2023,"<p>The Republic of Congo is facing severe floods since the past weeks. On 29th December, the Government conveyed an emergency meeting with country partners following the unprecedented increase of the Congo River and its main tributaries. The impact of the floods is significant, with around 189,000 people reported affected on 7th to 320,891 as of 29th December from a statement provided by the Government, with people directly impacted by the floods, subject to displacement and severe losses as a result of this catastrophe. The worst-affected departments are Likouala, Sangha, Cuvette, Plateaux, Niari, Brazzaville and Pointe-Noire (heavy rains), with 361 villages and 36 neighborhoods submerged due to the exceptional flooding of the Congo River and its tributaries over the past sixty years.</p>
<p>The impact of the rains to date on the population already far exceeds the number of people affected over the OND period during floods in 2021 (164,679 people - evaluation with the Government) and 2022 (222,000 people). Heavy rains being expected until March, the situation is worrying and the Government called partners for support. The Congolese Red Cross (CRC) as a main partner is mobilized to scale-up the support already engaged in coordination with the Government.</p>
<p>According to experts, the rainfall is twice as heavy as the usual average. The deadly floods and heavy rains continue. According to the same source, the floods caused 17 deaths in the departments of Likouala, Plateaux, Brazzaville and Pointe-Noire. 6 people were reported missing in the Likouala and Cuvette departments. In all, more than 2,292 hectares of farmland were flooded. (<a href=""https://reliefweb.int/node/4030201/"">IFRC, 16 Jan 2024</a>)</p>
<p>Water levels continue to recede in all affected areas. This withdrawal of water increases the need for disinfection and cleaning of flooded structures, in particular schools, health structures and water points. During this period of recession, there is also a risk of increased epidemiological risks and the spread of water-borne diseases which further increase the vulnerability of children and affected communities. (<a href=""https://reliefweb.int/node/4054150/"">UNICEF, 12 Apr 2024</a>)</p>
",low
-9.59,-51.62,Brazil: Floods - Jan 2024,"<p>Heavy rainfall has been affecting south-eastern Brazil, in particular the Rio de Janeiro State over the last 48 hours, causing floods, flash floods and triggering landslides that have resulted in casualties and damage. Media report, as of 15 January, eleven fatalities and one person still missing across the Rio de Janeiro Metropolitan Region. In addition, media also report the flooding of the subway network. The state of emergency was declared by the local authority over the Rio de Janeiro City area. Over the next 48 hours, more heavy rainfall with locally very heavy rainfall is still forecast over the whole Rio de Janeiro State. (<a href=""https://reliefweb.int/node/4029773"">ECHO, 15 Jan 2024</a>)</p>
<p>Since 26 January, heavy rainfall has been affecting Bahia State, in north-eastern Brazil, causing floods that have resulted in casualties and damage. According to local authorities and to the Pan American Health Organisation (PAHO), as of 30 January, four people died, of whom two in Castro Alves Municipality, other two in Aporá and Wanderley Municipalities respectively. At least 7,197 people have been displaced, the most affected Municipalities are Mutuípe, Medeiros Neto, Ilhéus, Muquém do São Francisco, Wanderley, and Cotegipe. A state of emergency has been declared for 14 Municipalities: Dário Meira, Cotegipe, Ilhéus, Medeiros Neto, Ibicuí, Anagé, Muquém de São Francisco, Iguaí, Quijingue, Wanderley, Jaguaquara, Ubaíra, Saubara and Milagres. (<a href=""https://reliefweb.int/node/4034230"">ECHO, 31 Jan 2024</a>)</p>
<p>The toll of the floods continues to increase following the heavy rainfall that has been affecting Bahia State, central-eastern Brazil since 26 January. According to local authorities and the Pan American Health Organisation (PAHO), as of 5 February, six people died, 9,751 have been displaced and 117,000 others affected across 34 municipalities. In addition, 24 of the 34 affected municipalities are under an Emergency Situation decree. For the next 24 hours, moderate to locally heavy rainfall is forecast across the affected state. (<a href=""https://reliefweb.int/node/4036851"">ECHO, 9 Feb 2024</a>)</p>
<p>Heavy rainfall has been affecting Amapá State in northern Brazil since 13 February, causing floods that have resulted in population displacement and damage. According to Pan American Health Organization (PAHO) reports, as of 16 February, at least 97 families have been evacuated in a shelter in Macapá Municipality in eastern Amapá State and several houses have been damaged due to floods. On 14 February a state of emergency was issued in the Macapá Municipality. Over the next 48 hours, more rainfall and isolated thunderstorms are expected over the southern Amapá State. (<a href=""https://reliefweb.int/node/4038767"">ECHO, 16 Feb 2024</a>)</p>
<p>Following the heavy rainfall that has been affecting Brazil since 25 February, causing flooding and rivers overflow, the number of displaced people and damage are increasing. As of 29 February, the Pan American Health Organisation (PAHO) reported that the displaced people are 20,182, of whom 6,627 are sheltered across 70 shelters in Acre State, on the border with Peru and Bolivia. In addition, Brasileia Municipality is isolated due to the overflow of the Acre River. The state of emergency is declared for the following Municipalities: Assis Brasil, Brasileia, Capixaba, Cruzeiro do Sul, Epitaciolândia, Feijó, Jordão Mâncio Lima, Marechal Thaumaturgo, Plácido de Castro, Porto Walter, Rio Branco, Santa Rosa do Purus, Sena Madureira, Tarauacá, and Xapuri. Over the next 48 hours, more rainfall and isolated thunderstorms are still forecast over the Acre State. (<a href=""https://reliefweb.int/node/4043252"">ECHO, 4 Mar 2024</a>)</p>
<p>The number of displaced people and damage continues to rise, following the heavy rainfall that has been affecting Acre State in western Brazil since 25 February, causing flooding and rivers overflow. As of 7 March, according to the Government of Acre and to WHO PAHO, a total of 28,855 people have been displaced, out of which 10,033 housed in 102 shelters across 14 municipalities. In addition, the overflow of the Juruá River has affected 19,694 people in Cruzeiro do Sul Municipality. (<a href=""https://reliefweb.int/node/4044765"">ECHO, 8 Mar 2024</a>)</p>
<p>Following the heavy rainfall that has been affecting south-eastern Brazil, in particular the Espirito Santo State and Rio de Janeiro State, causing floods and triggering landslides, the number of casualties and severe damage is increasing. As of 26 March, according to media reports, 27 people died, of whom 19 fatalities in Espirito Santo State, at least six people are still missing and five people have been rescued. In addition, more than 7,000 people have been displaced throughout the Espirito Santo State. Over the next 48 hours, more rainfall with locally heavy rainfall is forecast over the Rio de Janeiro and the Espirito Santo States. (<a href=""https://reliefweb.int/node/4049714"">ECHO, 26 Mar 2024</a>)</p>
<p>According to the Pan American Health Organization (PAHO), as of 3 April, at least 2,323 people have been displaced due to heavy rainfall in Maranhão State. At least 13 Municipalities have declared a state of emergency: Formosa da Serra Negra, São Roberto, São João do Sóter, Tuntum, Monção, Pindaré-Mirim, Conceição do Lago Açu, Lago da Pedra, Lagoa Grande do Maranhão, Carutapera, Governador Nunes Freire, Boa Vista do Gurupi, and Trizidela do Vale. Over the next 48 hours, more rainfall is forecast over Maranhão State, with locally very heavy rainfall. (<a href=""https://reliefweb.int/node/4052148"">ECHO, 04 Apr 2024</a>)</p>
<p>Heavy rainfall has been affecting south-eastern Brazil (Santa Catarina State) over the last few days, causing floods and landslides that have resulted in population displacement and damage. According to media, as of 15 April, at least 85 people have been displaced, of whom 11 have been sheltered in an evacuation centre due to floods. In addition, the BR-101 highway has been blocked and several roads have been flooded. Over the next 24 hours more heavy rainfall is still forecasted over southern Brazil. (<a href=""https://reliefweb.int/node/4055641"">ECHO, 18 Apr 2024</a>)</p>
<p>On 2 May 2024, the Government of the state of Rio Grande do Sul, Brazil, published updated information on the heavy rains affecting 147 municipalities of the state (40 increase since the 1 May report). In Rio Grande do Sul, there were 67,860 people affected (48,750 increase), 12 people were reported as injured (1 increase), and a total of 13 deaths have been reported (3 increase). In addition, there were 72,459 people displaced (67,448 increase), of which, 4,599 are in shelters (3,527 increase). (<a href=""https://reliefweb.int/node/4059690"">PAHO, 2 May 2024</a>)</p>
<p>Rio Grande do Sul state (southernmost Brazil) is still experiencing heavy rainfall that is causing floods and landslides, leading to an increasing number of casualties and damage. According to the Civil Defense of Rio Grande do Sul, 78 people have been confirmed dead, 105 others are still missing and 175 have been injured. Moreover, 18,847 people have been sheltered, almost 116,000 displaced, and 844,673 affected across 341 municipalities. National authorities have rescued 1,000 people through rescue and emergency operations, as reported by the Civil Defense of Rio Grande do Sul. The Copernicus Emergency Management Service (EMSR720) was activated in rapid mapping mode on 3 May to provide flood extent and damage assessment, and five maps have been produced so far. (<a href=""https://reliefweb.int/node/4060055/"">ECHO, 6 May 2024.</a>)</p>
<p>The number of casualties and the damage are still increasing following the heavy rainfall that has been affecting the Rio Grande do Sul state since early May, causing floods and triggering landslides and mudslides. The Civil Defense of Rio Grande do Sul reports, as of 16 May, 151 fatalities, 104 people still missing, 806 injured people, nearly 540,200 displaced people - of which around 77,200 evacuated in several shelters - and a total of approximately 2,282,000 affected people across 461 municipalities throughout the state. The same source reports over 76,600 rescued people across the affected municipalities. The Copernicus Emergency Management Service (EMSR720) was activated in rapid mapping mode on 3 May to provide the damage assessment, producing 17 maps so far. Over the next 72 hours, heavy rainfall with locally very heavy rainfall is still forecast over northern Rio Grande do Sul state. (<a href=""https://reliefweb.int/node/4063155"">ECHO, 17 May 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4061887""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/fc/f0/fcf04a9b-ae84-4543-b3b6-643fdc5de963.png"" alt=""IFRC: Brazil, Rio Grande do Sul | Floods - Emergency Appeal №: MDRBR011 - Cover preview"" /> IFRC: Brazil, Rio Grande do Sul | Floods - Emergency Appeal №: MDRBR011</a>
</li>
</ul>
",high
-14,27.43,Zambia: Cholera Outbreak - Oct 2023,"<p>A cholera outbreak which was first reported in October 2023 has seen a dramatic increase in transmission since mid-December. The country has now recorded a cumulative 8,276 cases and 333 deaths, with 446 new cases and 23 deaths in the past 24 hours according to a daily update from the Ministry of Health resulting in a case fatality rate of 4%. Thirty-one percent of the cases are in children under five years old. The outbreak initially emerged in peri-urban areas of Lusaka Province, which still has the most cases. But due to the high rate of transmission, the disease is now affecting people across multiple geographical areas.  Since the start of the current cholera outbreak, nine out of the ten provinces have reported cases of cholera with seven provinces confirming cholera outbreaks. (<a href=""https://reliefweb.int/node/4029492"">IFRC, 10 Jan 2024</a>)</p>
<p>Cumulatively this year, as of 11 February 2024, there have been 18 519 reported cases and 652 deaths (CFR = 3.5%). In week 06/2024, new cases decreased by 47.2% from 1 777 in the previous week to 938 new cases. New deaths decreased by 50.0% from 46 deaths in the previous week to 23. All the 10 provinces are reporting cases. The total number of districts reporting case are 70. The highest level of government response has been activated and coordinated by Disaster Management and Mitigation Unit (DMMU) under the office of the Vice President. The most affected areas are all the sub-districts in Lusaka District (especially the peri-urban), fishing areas in Luangwa district, sewage compound in Chongwe district using water from the wells. Cases and deaths are now on the increase in the Copperbelt province with a 9% and 50% respectively compared to the previous week. (<a href=""https://reliefweb.int/node/4039594"">WHO, 12 Feb 2024</a>)</p>
<p>Cumulatively this year, as of 10 March 2024, there have been 21,330 reported cases and 704 deaths (CFR = 3.3%). In week 10 of 2024, new cases decreased by 5.1% from 592 in the previous week to 562. New deaths also decreased by 81.8% from 11 deaths in the previous week to two. All the 10 provinces are reporting cases. The total number of districts reporting case are 70. (<a href=""https://reliefweb.int/node/4053293"">WHO, 11 Mar 2024</a>)</p>
<p>The current cholera outbreak started with Lusaka Province confirming cases in the cholera-prone areas (peri-urban). From October 2023 to 6 May, 2024, nine provinces have reported cases of cholera with seven provinces confirming cholera outbreaks. A total of 40 districts have confirmed local transmission. Cumulative cases stand at 23 221 with 740 deaths (CFR 3.2%). (<a href=""https://reliefweb.int/node/4075082"">WHO, 23 Jun 2024</a>)</p>
",low
-4.03833,21.7587,DR Congo: Floods - Jan 2024,"<p>In the last few days, heavy rainfall has affected parts of the Democratic Republic of the Congo (DRC), particularly the eastern and southern areas, causing floods and triggering landslides that resulted in casualties and damage. According to media, as of 28 December, 60 fatalities have been reported, of whom 22 were in Kasai-Central Province, 20 in Bukavu City (South Kivu Province) and 20 in Burhinyi Village, 50 km from Bukavu City. Moreover, 16 people are still missing and more than 1,400 houses have been damaged. Floods are also reported in the northern part of the country. Over 100 households would have lost their homes in Mbandaka (Province of Équateur) according to media reports. (<a href=""https://reliefweb.int/node/4027325"">ECHO, 3 Jan 2024</a>)</p>
<p>Heavy rainfall has been affecting the north-eastern Democratic Republic of the Congo (DRC) over the last months, causing floods and flash floods due to the rising of the Congo River water level that has resulted in casualties and damage. According to media, as of 12 January, at least 300 people died and nearly 300,000 households have been affected by floods, the capital Kinshasa is one of the most affected areas. In addition, tens of thousands of houses have been destroyed. (<a href=""https://reliefweb.int/node/4029353"">ECHO, 12 Jan 2024</a>)</p>
",high
-35.38,-64,Argentina: Severe Local Storm - Dec 2023,"<p>On 16 December in the city of Bahía Blanca, south of the Province of Buenos Aires, gusts of over 140 kms per hour not only affected access to services such as electricity and water, but also had an impact on urban infrastructure and homes. As a result, the Club Bahiense del Norte building collapsed and 13 people lost their lives, including a 4-year-old girl, and more than 20 were injured. The damage to the infrastructure of homes has been considerable, mainly in neighborhoods far from the central area of the city, with roofs blown off, falling masonry and walls, among others. Hundreds of electric power poles and old trees have fallen as a result of the intense winds, making it difficult to restore electric power and therefore delaying access to water in many communities, as well as delaying early recovery tasks, generating difficulties in accessing the most exposed communities. On 18 December the Governor of the Province of Buenos Aires decreed a State of Emergency for 30 days for the entire territory of the Province, which was made official in the Official Gazette.(<a href=""https://reliefweb.int/node/4026904"">IFRC, 30 Dec 2023</a>)</p>
",low
-26.56,31.5,Eswatini: Drought - Jun 2023,"<p>[...] For successive years, Eswatini has been battling with prolonged drought whose effect on agriculture were further escalated by socio-economic cumulative challenges that the country did not overcome. ACAPS classification of the food insecurity in Eswatini on 30th November was high. 25% of the population is concerned by the food insecurity vulnerabilities with challenge accessing food needs and water insecure, with many households still reliant on welfare and social safety nets.</p>
<p>The Integrated Food Security Phase Classification (IPC) report published on August 2023 indicates that approximately 238,500 people (20%) of the population were estimated to be facing acute food insecurity and requiring urgent humanitarian assistance in September 2023. From October 2023 to March 2024, it was projected that approximately 268,000 people will be classified in IPC Phase 3 (Crisis), and nearly 14,700 will be in IPC Phase 4 (Emergency). On average 25% will be facing acute food insecurity in the predicted period. The regions with the highest prevalence of food insecurity are Lubombo and Shiswelweni, the areas most affected by the drought.</p>
<p>The magnitude of the drought and its consequences on food security escalation in the country will worsen with the forecasted El Nino (January - March period). Seasonal forecasts released by the SADC Meteorological Center and the local meteorological department predict a high inclination to the El Nino phenomenon in the January to March period. (<a href=""https://reliefweb.int/node/4026018"">IFRC, 24 Dec 2023</a>)</p>
",high
-12.1,17.91,Angola: Floods - Nov 2023,"<p>Five days of cumulative heavy rains were witnessed in Angola which brought significant floods on 30th November. According to the Angolan Civil Protection and Fire service (SPCB) preliminary data, estimates 30 deaths, 5,292 affected households (26,460 people). Besides, 10,895 households have seen their crops under water. In total, 15 of the 18 provinces are affected, with the most critical being Luanda, Huambo, Bie, Malanje and Cuanza Norte. The Government continues with assessments at country level. (<a href=""https://reliefweb.int/node/4023526"">IFRC, 15 Dec 2023</a>)</p>
",medium
1.28,32.39,Uganda: Anthrax Outbreak - Nov 2023,"<p>Anthrax outbreak was confirmed on 29th November 2023 in Kabira, Kasasa and Lwankoni sub-counties in Kyotera district. According to the district surveillance team, Kyotera district anthrax possibly started in June 2023 on a farm in Kkyamayembe Sub-County following the consumption of meat of a dead cow. The victims presented with various signs including itchy rash, swelling and skin lesions. In early July, the first human death was reported and 24 animal deaths by October 31,2023. The consumption of meat of the dead animals continued and 3 humans developed signs of the disease. (<a href=""https://reliefweb.int/node/4023530"">IFRC, 15 Dec 2023</a>)</p>
<p>Human anthrax outbreak which started in 2023 is still ongoing in Uganda. Amudat district reported 2 suspected anthrax cases from Karita HC IV in epi week 10 and other 2 in epi week 9. The district rapid response team has been notified to investigate the event. There were zero new cases in the 8 remaining affected districts (except in Amudat) and zero deaths in all the 9 affected districts of Abim, Amudat, Kaabong, Karenga, Kotido, Moroto, Nabilatuk, Nakapiripiri, Napak. <a href=""https://reliefweb.int/node/4053297"">WHO, 24 Mar 2023</a>)</p>
",low
31.01,36.44,Jordan: Cold Wave - Nov 2023,"<p>Starting in the evening of Sunday, 19/11/2023, the Hashemite Kingdom of Jordan was exposed to a severe depression with the noon hours affecting all the kingdom’s governorates dropping the temperatures to below 10 degrees. The Meteorological Agency issued warnings of strong winds exceeding in some areas the barrier of 65 km / h, which leads to rising dust and low horizontal visibility, especially in the Badia regions. The rate of rainfall fell greater than usual at this time of the year, which led to the formation of torrential rains in cities, valleys, and water catchment areas, according to the report of the Ministry of Water. [...] These harsh winter conditions have impacted and continue to impact many community groups in the north and south of Jordan. Some households in Ma'an (South of Jordan) and Irbid (North of Jordan) governorates were raided by floodwaters causing damage to some of their household items with no injuries or deaths according to the social sources. Tented settlements in remote areas were heavily impacted with their tents flooded with water and were evacuated to emergency shelters by the civil defense. [...]
The affected people include vulnerable Jordanians, Syrian refugees (with different registration statuses), Iraqi refugees, Pakistani workers, and Sudanese and Yemeni asylum seekers. These groups either live in very poor conditions in households that need renovation or are living in informal tented settlements. Even though these groups are identified by the different humanitarian actors in the field, their ability to intervene to support them is still very limited. (<a href=""https://reliefweb.int/node/4019534"">IFRC, 1 Dec 2023</a>)</p>
",medium
11.74,122.88,Philippines: Earthquake - Dec 2023,"<p>The magnitude 7.4 earthquake that occurred off the coast of Hinatuan in Surigao del Sur on Saturday, 2 December, 10:37 p.m. local time was caused by movements in the Philippine trench, according to the Philippine Institute of Volcanology and Seismology (PHIVOLCS). The quake, initially reported by PHIVOLCS with 7.5 magnitude, was changed to 6.9, eventually to 7.4, raised a tsunami alert, which was lifted on Sunday morning, 3 December local time. Since the earthquake, PHIVOLCS recorded over 660 aftershocks, ranging from magnitudes 1.4 to 6.5; which are expected to continue over the coming days. The tsunami alert caused an immediate evacuation to higher grounds of over 26,000 people living in coastal areas of the provinces of Surigao del Sur and Davao Oriental. Most have returned home after the tsunami alert was lifted by PHIVOLCS. (<a href=""https://reliefweb.int/node/4019664"">OCHA, 3 Dec 2023</a>)</p>
<p>The ASEAN Disaster Information Network (ADINet) and the Disaster Response Operations Monitoring and Information Center (DSWD DROMIC) report, as of 3 December, one fatality, two injured people and more than 236,798 affected people across 156 districts. In addition, at least 84 houses have been fully damaged, 436 partially damaged and one road have been affected. (<a href=""https://reliefweb.int/node/4019872"">ECHO, 4 Dec 2023</a>)</p>
<p>The number of impacted people is increasing following the 7.6 M earthquake of 2 December that struck Hinatuan Municipality in Surigao Del Sur Province, Caraga Region, Mindanao, southern Philippines. Over the past 24 hours, dozens of aftershocks up to 5.7 M have been recorded in the area by the Philippine Institute of Volcanology and Seismology (PHIVOLCS). According to the Disaster Response Operations Monitoring and Information Center (DSWD DROMIC) and the National Disaster Risk Reduction and Management Council (NDRRMC), one person died, and 12 were injured in Davao Region. Moreover, almost 1,800 people have been displaced, approximately 400,000 affected, and 2,279 houses damaged across Caraga and Davao Regions. (<a href=""https://reliefweb.int/node/4020225"">ECHO, 5 Dec 2023</a>)</p>
<p>According to the National Disaster Risk Reduction and Management Council (NDRRMC), as of 5 December, three people died and 48 others have been injured after the 7.6 M earthquake of 2 December that hit Hinatuan Municipality in Surigao Del Sur Province (Caraga Region, Mindanao, southern Philippines). In addition, more than 528,000 people have been affected, 51 are still displaced in one evacuation centre, and almost 1,900 are still pre-emptively evacuated across Caraga and Davao Regions. NDRRMC reports more than 3,000 aftershocks of magnitude between 1.4 M and 6.6 M across the affected area. National authorities are providing help for those affected, distributing family food packs (FFPs) to some 6,127 families from Hinatuan Municipality. (<a href=""https://reliefweb.int/node/4020558"">ECHO, 6 Dec 2023</a>)</p>
",high
18.85,-70.11,Dominican Republic: Floods and Landslides - Nov 2023,"<p>Since 17 November, a tropical depression has been bringing heavy rainfall, flooding and landslides to the Dominican Republic. According to the country’s Emergency Operations Centre, the extreme weather has left at least 21 people dead and forced more than 13,000 people to evacuate. At least 15 electricity circuits and 115 aqueducts have been affected, causing disruptions in electricity service for more than 150,000 people and water service for some 1.8 million people. The National Institute of Drinking Water and Sewage and EDESUR are working to restore their respective services in the affected areas.</p>
<p>According to preliminary reports, more than 1,500 homes, 6 roads and 5 bridges have been affected. Some 19 communities remain cut off due to the overflow of rivers. Fourteen provinces (Pedernales, San Juan, Barahona, Azua, San José de Ocoa, Bahoruco, Independencia, Elías Piña, San Cristóbal, Peravia, Sánchez Ramírez, El Distrito Nacional, Santo Domingo and Duarte) across the country remain at a red alert level due to the risk of further flooding and landslides. Heavy rainfall is forecast to continue through until 20 November. (<a href=""https://reliefweb.int/node/4016404/"">OCHA, 20 Nov 2023</a>)</p>
<p>As of 21 November, severe rains and subsequent flooding have left 24 people dead, displaced nearly 18,000 people, affected 3,500 homes, and cut off some 45 communities. About 1.1 million people are still without access to safe water. [...]  The UN is also helping the Ministry of Health with the procurement of 50,000 cholera vaccine doses after authorities detected 16 cases, 12 among Haitian migrants. There are concerns that damages to water management systems may aggravate an ongoing dengue outbreak that has led to 12,000 cases so far in 2023. (<a href=""https://reliefweb.int/node/4018104/"">OCHA, 27 Nov 2023</a>)</p>
<p>According to [information from 22 November], 7,412 homes were affected, 14 partially affected and 22 were destroyed. At least 37,060 people were displaced to safe areas and 55 communities are isolated. A total of 4 shelters were opened, housing 158 people, and 59 water services were affected, of which 55 are inoperable. (<a href=""https://reliefweb.int/node/4018415/"">PAHO, 28 Nov 2023</a>)</p>
<p>Almost three weeks after intense rainfall and flooding hit the Dominican Republic on 17 and 18 November, a Damage and Needs Assessment conducted in North Santo Domingo and the province of Duarte indicates that populations in the most affected communities require food, clean water, hygiene and sanitation supplies, medicines, and the repair or reconstruction of homes.</p>
<p>According to estimations from the government’s social protection system (SIUBEN), the flooding affected at least 340,000 people in the provinces of Duarte, Santo Domingo, San José de Ocoa, Barahona, Bahoruco, San Juan de la Maguana, Sánchez Ramírez, Peravia, Azua, Distrito Nacional and San Cristóbal. Some 34 people died, 37,000 were displaced and approximately 7,412 homes were severely damaged. Around 61 per cent of damaged homes were in the province of Duarte, while 13 per cent were in Distrito Nacional and the Santo Domingo province. The agricultural sector also faced significant losses, with extensive damage to crops, greenhouses, and livestock, affecting over 7,000 producers in various provinces. President Luis Abinader estimated the damages to exceed US$460 million (excluding the Ministry of Public Works and Communications' budget).</p>
<p>In the aftermath of the rains, ongoing health crises have continued to escalate. There has been an alarming surge of dengue, with 17,360 suspected cases, including 128 severe cases and 19 deaths this year. Additionally, a confirmed cholera outbreak in Barahona, heavily impacted by the floods, reported 29 cases, contributing to the overall national count of 1,109 suspected cases, 115 confirmed cases, and one death. The widespread impact of the event highlights the vulnerabilities of the country and the need to strengthen capacities to prevent, prepare and respond effectively. (<a href=""https://reliefweb.int/node/4022013/"">OCHA, 11 Dec 2023</a>)</p>
<p>On 21 December 2023, the Emergency Operation Center of Dominican Republic (COE per its acronym in Spanish) published information about the heavy rains in the country. A total of 4 provinces are in yellow alert due to the flooding (3 decrease since the 20 December report). The heavy rains have affected 36 water distribution services and 400,133 people are without potable water (93,847 increase). (<a href=""https://reliefweb.int/node/4025854/"">PAHO, 22 Dec 2023</a>)</p>
",high
3.9,-73.07,Colombia: Floods - Oct 2023,"<p>Since 30 October, there have been heavy and prolonged rains outside the normal range in the Colombian Caribbean, affecting the north of the country, especially in the coastal area, with greater intensity in the departments of La Guajira, Bolivar, Magdalena and Atlántico. According to the National Unit for Risk and Disaster Management (UNGRD), because of the rains, there have been multiple floods, landslides, communication problems and families affected by the effects of the Atmospheric Disturbance (AL97), which is a climatic instability that alters atmospheric conditions and causes strong winds and rainfall ... According to the reports consolidated by the regional offices, around 13,696 families (41,088 people) were affected by the emergency, with damage to their homes, limited access to drinking water and livelihoods affected. Of these, 600 families are in the department of Atlántico, 10,200 families in the department of Bolívar and 2,896 families in the department of Magdalena. (<a href=""https://reliefweb.int/node/4015920"">IFRC, 18 Nov 2023</a>)</p>
",high
-3.53,29.89,Burundi: Floods and Landslides - Oct 2023,"<p>Intense rainfall of 26 to 27 October resulting in strong winds and floods that affected Cibitoke. Other floods were reported earlier but from assessment done by NS on 2 November, Cibitoke remains the most affected so far. 1,590 people are identified as affected in the communes of Buganda, Murwi and Rugombo in Cibitoke. In the province and more precisely in the three communes, following the landslides recorded and floods that impacted Cibitoke, hundreds of households are displaced and have found refuge in host households. [...] From cumulative incident reports, since October 2023, some provinces have started facing heavy rain with strong winds which caused the following damages. Since October, localized floods in Makamba, Ngozi, Cibitoke led to 7 dead, 34 persons injured. Multiple events of strong winds, landslides and flooding from early October have made 4456 affected people and damaged infrastructures. However, the worst affected areas for now remain Cibitoke. (<a href=""https://reliefweb.int/node/4016067"">IFRC, 20 Nov 2023</a>)</p>
<p>The situation evolved from October to December as predicted by weather forecasts; Bujumbura faced additional flooding, affecting the 4 communes of Bujumbura Mairie. Currently, 7,722 people are affected in Bujumbura Mairie following the heavy rains that fell on the night of December 26 to 27, 2023. 4 areas are affected, namely Kinama, Buterere, Musaga and Kanyosha, but the most affected is Buterere, with a total of 5,574 people affected. These rains also caused the displacement of 900 people, the destruction of 1,287 houses, the displacement left several injured and one dead. All these households are with host families. The president of the national platform for risk prevention and disaster management asked for help from Burundi Red Cross of in order to provide assistance to these people in distress. (<a href=""https://reliefweb.int/node/4030874"">IFRC, 18 Jan 2024</a>)</p>
<p>Due to the intense rainfall associated with the El Niño phenomenon, the water level of Lake Tanganyika surged, leading to flooding in communities across 39 hills in 9 communes of Bujumbura (Mutimbuzi and Kabezi communes), Mairie Province (Muha, Mukaza, and Ntahangwa communes), Rumonge Province (Muhuta, Bugarama, and Rumonge communes), and Makamba Province (Nyanza Lac commune). This event exacerbated the ongoing flood and landslide operations in Cibitoke and Bujumbura Mairie, affecting areas like Murwi, Buganda, and Rugombo in Cibutoke Province, as well as Kinama, Kanyosha, and Buterere in Bujumbura Mairie. Since March 12, 2024, the water level of Lake Tanganyika has risen by 776.76 meters, exceeding the normal level by 1.76 meters, marking the most severe increase in sixty years. In recent days, local residents have had to halt their activities, with some forced to evacuate as the lake continues to encroach upon inhabited areas. The rising waters of Lake Tanganyika have impacted 10 communes across 4 provinces, affecting all households in the vicinity. Currently, 162,356 people are at high risk, while 66,391 individuals are already in need of assistance. Comparing the current rise in water levels to those of 2021, observations suggest an increase of approximately 100cm. The Ministry of Environment and Agriculture has advised residents in affected areas to relocate to safer, non-flooded zones.(<a href=""https://reliefweb.int/node/4055452"">IFRC, 1 Apr 2024</a>)</p>
<h3>Appeals &amp; Response Plans</h3>
<ul>
<li>
<a href=""https://reliefweb.int/node/4060921""><img src=""https://reliefweb.int/sites/default/files/styles/small/public/previews/cb/c1/cbc19321-5260-4d34-9ac9-eb4856d6d3f0.png"" alt=""OCHA: Burundi: Plan de réponse inondations et montée du lac Tanganyika (effets El-Niño) - Cover preview"" /> OCHA: Burundi: Plan de réponse inondations et montée du lac Tanganyika (effets El-Niño)</a>
</li>
</ul>
",low
3.2,108.71,Malaysia: Dengue Outbreak - Nov 2023,"<p>Until October 2023, the number of dengue cases surged by 100.5 per cent, totaling 96,443 cases cumulatively, a signicant increase from the 48,109 cases reported in 2022. In 2022, Malaysia documented roughly 64,078 dengue fever cases nationwide, 26,365 cases in 2021, and 90,304 cases in 2020. Regarding fatalities, a total of 73 deaths from dengue-related complications were recorded by 22 October 2023, compared to 29 deaths during the same period in 2022. In October 2023, daily cases averaged above 300. Currently, there are 73 dengue hotspot localities nationwide, with Selangor state hosting the highest number of hotspots (51), while other states have single-digit counts. Selangor's Petaling and Hulu Langat districts record the most cases, and within Petaling, the top three aected sub-districts are Petaling (5,570), Damansara (4,930), and Sungai Buloh (4,160). (<a href=""https://reliefweb.int/node/4015715"">IFRC, 17 Nov 2023</a>)</p>
",high
